Rank,Release Group,Worldwide,Domestic,%,Foreign,%
45,The Courier,"$10,227,204","$6,386,933",62.5%,"$3,840,271",37.5%
46,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
47,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
48,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
49,Nomadland,"$7,379,524","$2,143,000",29%,"$5,236,524",71%
50,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
51,Dad,"$7,106,607",-,-,"$7,106,607",100%
52,Lat Mat 5: 48H,"$6,584,293",-,-,"$6,584,293",100%
53,Judas and the Black Messiah,"$6,446,607","$5,446,607",84.5%,"$1,000,000",15.5%
54,Signal: The Movie,"$6,340,996",-,-,"$6,340,996",100%
55,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
56,Penguin Bloom,"$6,177,811",-,-,"$6,177,811",100%
57,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
58,Suicide Forest Village,"$5,584,171",-,-,"$5,584,171",100%
59,Octonauts: The Ring of Fire,"$5,385,130",-,-,"$5,385,130",100%
60,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
61,Red,"$4,920,261",-,-,"$4,920,261",100%
62,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
63,Palma,"$4,612,464",-,-,"$4,612,464",100%
64,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
65,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
66,Seobok,"$4,116,434",-,-,"$4,116,434",100%
67,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
68,Major Grom: Plague Doctor,"$3,950,447",-,-,"$3,950,447",100%
69,Voyagers,"$3,923,674","$3,147,425",80.2%,"$776,249",19.8%
70,Chernobyl: Abyss,"$3,902,068",-,-,"$3,902,068",100%
71,Karnan,"$3,817,585",-,-,"$3,817,585",100%
72,Wrong Turn,"$3,756,090","$1,233,192",32.8%,"$2,522,898",67.2%
73,Separation,"$3,671,160","$3,671,160",100%,-,-
74,The Mauritanian,"$3,628,817","$836,536",23.1%,"$2,792,281",76.9%
75,Girls und Panzer das Finale: Part III,"$3,578,578",-,-,"$3,578,578",100%
76,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
77,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
78,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
79,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
80,The Girl Who Believes in Miracles,"$2,981,725","$2,981,725",100%,-,-
81,The Book of Fish,"$2,622,158",-,-,"$2,622,158",100%
82,Land,"$2,605,685","$2,577,830",98.9%,"$27,855",1.1%
83,High Ground,"$2,407,724",-,-,"$2,407,724",100%
84,Roohi,"$2,306,525",-,-,"$2,306,525",100%
85,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
86,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
87,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
88,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
89,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
90,Recalled,"$1,950,100",-,-,"$1,950,100",100%
91,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
92,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
93,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
94,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
95,Boss Level,"$1,476,418",-,-,"$1,476,418",100%
96,French Exit,"$1,468,862","$683,615",46.5%,"$785,247",53.5%
97,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
98,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
99,Endless Rain,"$1,402,645","$6,568",0.5%,"$1,396,077",99.5%
100,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
101,Here Today,"$1,304,772","$1,304,772",100%,-,-
102,Together Together,"$1,303,982","$1,303,982",100%,-,-
103,I Care a Lot,"$1,279,918",-,-,"$1,279,918",100%
104,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
105,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$1,236,555","$1,236,555",100%,-,-
106,Those Who Wish Me Dead,"$1,200,000",-,-,"$1,200,000",100%
107,Ainbo,"$1,148,955",-,-,"$1,148,955",100%
108,Extinct,"$1,146,036",-,-,"$1,146,036",100%
109,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
110,Crisis,"$1,113,537","$404,738",36.3%,"$708,799",63.7%
111,In the Earth,"$1,108,799","$1,108,799",100%,-,-
112,V2. Escape from Hell,"$1,100,000",-,-,"$1,100,000",100%
113,Super Me,"$1,100,000",-,-,"$1,100,000",100%
114,Cousins,"$1,097,433",-,-,"$1,097,433",100%
115,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
116,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
117,In the Mood for Love 2020 Re-release,"$1,051,048",-,-,"$1,051,048",100%
118,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
119,Crazy Wedding 3,"$1,023,947",-,-,"$1,023,947",100%
120,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
121,A Stand Worthy of Men,"$999,600",-,-,"$999,600",100%
122,Zoya,"$944,885",-,-,"$944,885",100%
123,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$933,488",-,-,"$933,488",100%
124,Supernova,"$873,354","$234,220",26.8%,"$639,134",73.2%
125,The Box,"$848,502",-,-,"$848,502",100%
126,The Vault,"$768,366",-,-,"$768,366",100%
127,Lamb of God: The Concert Film,"$744,513","$744,513",100%,-,-
128,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
129,Maya the Bee 3: The Golden Orb,"$725,320",-,-,"$725,320",100%
130,Long Story Short,"$676,687",-,-,"$676,687",100%
131,The Truffle Hunters,"$666,876","$232,099",34.8%,"$434,777",65.2%
132,Trang Ti Phieu Luu Ky,"$665,224",-,-,"$665,224",100%
133,Our Friend,"$663,725","$663,725",100%,-,-
134,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
135,Music,"$645,949",-,-,"$645,949",100%
136,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
137,Four Good Days,"$626,582","$626,582",100%,-,-
138,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
139,Long Weekend,"$528,438","$528,438",100%,-,-
140,Dark Spell,"$515,596",-,-,"$515,596",100%
141,Girls Can't Surf,"$508,210",-,-,"$508,210",100%
142,Riders of Justice,"$455,571",-,-,"$455,571",100%
143,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
144,Twist,"$449,045",-,-,"$449,045",100%
145,2021 Oscar Nominated Short Films: Live Action,"$442,383","$442,383",100%,-,-
146,Gekijouban Bang Dream! Episode of Roselia: Promise,"$439,068",-,-,"$439,068",100%
147,Willy's Wonderland,"$427,203","$418,286",97.9%,"$8,917",2.1%
148,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
149,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
150,Earwig and the Witch,"$410,398","$173,704",42.3%,"$236,694",57.7%
151,My Salinger Year,"$393,306","$54,730",13.9%,"$338,576",86.1%
152,Dynasty Warriors,"$380,329",-,-,"$380,329",100%
153,The Seventh Day,"$375,921",-,-,"$375,921",100%
154,Russian Yug,"$348,435",-,-,"$348,435",100%
155,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
156,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
157,Dutch,"$323,167","$323,167",100%,-,-
158,Rising Wolf,"$316,018",-,-,"$316,018",100%
159,Kabadadaari,"$302,563",-,-,"$302,563",100%
160,Abominable 2021 Re-release,"$299,679","$110,000",36.7%,"$189,679",63.3%
161,Birth Time: The Documentary,"$296,921",-,-,"$296,921",100%
162,Dawn Raid,"$292,930",-,-,"$292,930",100%
163,Ginger's Tale,"$284,298",-,-,"$284,298",100%
164,Don't Heal Me,"$282,513",-,-,"$282,513",100%
165,American Skin,"$282,332","$282,332",100%,-,-
166,Young Adult Matters,"$279,643",-,-,"$279,643",100%
167,Cosmic Sin,"$278,547",-,-,"$278,547",100%
168,The Only Way Out,"$268,590",-,-,"$268,590",100%
169,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
170,The Funeral Home,"$259,184",-,-,"$259,184",100%
171,Demon Hunter,"$254,717",-,-,"$254,717",100%
172,Vellam,"$233,364",-,-,"$233,364",100%
173,Sultan,"$232,111",-,-,"$232,111",100%
174,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
175,Be My Kirill,"$204,850",-,-,"$204,850",100%
176,Rassegna Cinematografica,"$199,549",-,-,"$199,549",100%
177,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
178,SAS: Red Notice,"$198,432","$146,329",73.7%,"$52,103",26.3%
179,Limbo,"$196,025","$196,025",100%,-,-
180,Go Back,"$190,002",-,-,"$190,002",100%
181,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
182,Kill It and Leave This Town,"$183,771",-,-,"$183,771",100%
183,Sound of Metal,"$181,421",-,-,"$181,421",100%
184,The Water Man,"$181,046","$181,046",100%,-,-
185,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
186,Nayattu,"$177,716",-,-,"$177,716",100%
187,The Lord of the Rings: The Return of the King 2021 Re-release,"$173,925",-,-,"$173,925",100%
188,The United States vs. Billie Holiday,"$173,222",-,-,"$173,222",100%
189,Wings 2,"$170,752",-,-,"$170,752",100%
190,Every Breath You Take,"$168,484",-,-,"$168,484",100%
191,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
192,The Resort,"$165,092","$165,092",100%,-,-
193,The Reckoning,"$163,594","$143,532",87.7%,"$20,062",12.3%
194,Minamata,"$159,491",-,-,"$159,491",100%
195,Scarecrow,"$153,514",-,-,"$153,514",100%
196,Shades of the Heart,"$148,997",-,-,"$148,997",100%
197,Song Song,"$148,199",-,-,"$148,199",100%
198,Blind,"$147,131",-,-,"$147,131",100%
199,Gunda,"$142,531","$83,422",58.5%,"$59,109",41.5%
200,Held,"$142,240","$142,240",100%,-,-
